FC1(0): 82	FC2(0): 87	FC3(0): 86	
FC1(1): 82	FC2(1): 86	FC3(1): 79	
FC1(2): 80	FC2(2): 82	FC3(2): 79	
FC1(3): 80	FC2(3): 79	FC3(3): 81	
FC1(4): 88	FC2(4): 80	FC3(4): 81	
FC1(5): 88	FC2(5): 81	FC3(5): 89	
FC1(6): 88	FC2(6): 89	FC3(6): 2	
FC1(7): 3	FC2(7): 88	FC3(7): 2	
FC1(8): 1	FC2(8): 3	FC3(8): 2	
FC1(9): 1	FC2(9): 2	FC3(9): 4	
FC1(10): 1	FC2(10): 4	FC3(10): 5	
FC1(11): 6	FC2(11): 1	FC3(11): 5	
FC1(12): 7	FC2(12): 6	FC3(12): 5	
FC1(13): 7	FC2(13): 5	FC3(13): 9	
FC1(14): 7	FC2(14): 9	FC3(14): 8	
FC1(15): 10	FC2(15): 7	FC3(15): 8	
FC1(16): 11	FC2(16): 10	FC3(16): 8	
FC1(17): 11	FC2(17): 8	FC3(17): 13	
FC1(18): 11	FC2(18): 13	FC3(18): 12	
FC1(19): 14	FC2(19): 11	FC3(19): 12	
FC1(20): 15	FC2(20): 14	FC3(20): 12	
FC1(21): 15	FC2(21): 12	FC3(21): 17	
FC1(22): 15	FC2(22): 17	FC3(22): 16	
FC1(23): 18	FC2(23): 15	FC3(23): 16	
FC1(24): 27	FC2(24): 18	FC3(24): 16	
FC1(25): 27	FC2(25): 16	FC3(25): 26	
FC1(26): 28	FC2(26): 27	FC3(26): 26	
FC1(27): 28	FC2(27): 26	FC3(27): 46	
FC1(28): 44	FC2(28): 28	FC3(28): 46	
FC1(29): 44	FC2(29): 46	FC3(29): 43	
FC1(30): 45	FC2(30): 44	FC3(30): 43	
FC1(31): 61	FC2(31): 45	FC3(31): 43	
FC1(32): 61	FC2(32): 43	FC3(32): 62	
FC1(33): 63	FC2(33): 61	FC3(33): 62	
FC1(34): 63	FC2(34): 62	FC3(34): 64	
FC1(35): 63	FC2(35): 64	FC3(35): 78	
FC1(36): 76	FC2(36): 63	FC3(36): 78	
FC1(37): 76	FC2(37): 78	FC3(37): 75	
FC1(38): 77	FC2(38): 76	FC3(38): 75	
FC1(39): 136	FC2(39): 77	FC3(39): 75	
FC1(40): 136	FC2(40): 75	FC3(40): 137	
FC1(41): 138	FC2(41): 136	FC3(41): 137	
FC1(42): 139	FC2(42): 138	FC3(42): 137	
FC1(43): 139	FC2(43): 137	FC3(43): 140	
FC1(44): 141	FC2(44): 139	FC3(44): 140	
FC1(45): 141	FC2(45): 140	FC3(45): 133	
FC1(46): 134	FC2(46): 141	FC3(46): 133	
FC1(47): 134	FC2(47): 133	FC3(47): 132	
FC1(48): 135	FC2(48): 134	FC3(48): 132	
FC1(49): 135	FC2(49): 132	FC3(49): 128	
FC1(50): 129	FC2(50): 135	FC3(50): 128	
FC1(51): 129	FC2(51): 128	FC3(51): 126	
FC1(52): 130	FC2(52): 129	FC3(52): 126	
FC1(53): 130	FC2(53): 126	FC3(53): 127	
FC1(54): 131	FC2(54): 130	FC3(54): 127	
FC1(55): 131	FC2(55): 127	FC3(55): 142	
